Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,1820,1903,64,165,0.9420546558704453,0.9660297239915074,0.9168765743073047,0.9674631418403661,0.9408115792194366,2.505403995513916,2.505403995513916,4940
3,1275,1967,0,710,0.8203441295546559,1.0,0.6423173803526449,1.0,0.7822085889570553,4.556354999542236,4.556354999542236,4940
4,1279,1967,0,706,0.8213562753036437,1.0,0.6443324937027708,1.0,0.7837009803921569,4.853137969970703,4.853137969970703,4940
5,1262,1967,0,723,0.8170546558704453,1.0,0.6357682619647356,1.0,0.777332922697875,3.377621650695801,3.377621650695801,4940
6,1262,1967,0,723,0.8170546558704453,1.0,0.6357682619647356,1.0,0.777332922697875,4.083566188812256,4.083566188812256,4940
7,1266,1967,0,719,0.8180668016194332,1.0,0.6377833753148615,1.0,0.7788372808366656,7.917346000671387,7.917346000671387,4940
8,1275,1967,0,710,0.8203441295546559,1.0,0.6423173803526449,1.0,0.7822085889570553,7.126341819763184,7.126341819763184,4940
9,1316,1967,0,669,0.8307186234817814,1.0,0.6629722921914357,1.0,0.7973341411693425,8.06026005744934,8.06026005744934,4940
10,1341,1967,0,644,0.8370445344129555,1.0,0.6755667506297229,1.0,0.8063740228502706,4.838406085968018,4.838406085968018,4940
